Time,future,past
16-04-2022 14:00,11.34,11.34
16-04-2022 15:00,7.34,7.34
16-04-2022 16:00,7.34,7.34
16-04-2022 17:00,6.34,6.34
16-04-2022 18:00,6.34,6.34
16-04-2022 19:00,6.34,6.34
16-04-2022 20:00,6.34,6.34
16-04-2022 21:00,6.34,6.34
16-04-2022 22:00,5.34,5.34
16-04-2022 23:00,5.34,5.34
17-04-2022 00:00,5.34,5.34
17-04-2022 01:00,4.34,4.34
17-04-2022 02:00,3.34,3.34
17-04-2022 03:00,4.34,4.34
17-04-2022 04:00,4.34,4.34
17-04-2022 05:00,4.34,4.34
17-04-2022 06:00,5.34,5.34
17-04-2022 07:00,5.34,5.34
17-04-2022 08:00,6.34,6.34
17-04-2022 09:00,8.34,8.34
17-04-2022 10:00,9.34,9.34
17-04-2022 11:00,10.34,10.34
17-04-2022 12:00,8.34,8.34
17-04-2022 13:00,8.34,8.34
17-04-2022 14:00,8.34,8.34
17-04-2022 15:00,8.34,8.34
17-04-2022 16:00,7.34,7.34
17-04-2022 17:00,7.34,7.34
17-04-2022 18:00,5.34,5.34
17-04-2022 19:00,4.34,4.34
17-04-2022 20:00,2.34,2.34
17-04-2022 21:00,2.99,2.34
17-04-2022 22:00,2.34,2.34
17-04-2022 23:00,2.88,1.34
18-04-2022 00:00,3.29,2.34
18-04-2022 01:00,3.68,2.34
18-04-2022 02:00,3.96,2.34
18-04-2022 03:00,4.26,2.34
18-04-2022 04:00,4.13,2.34
18-04-2022 05:00,4.42,3.34
18-04-2022 06:00,5.0,5.34
18-04-2022 07:00,5.54,6.34
18-04-2022 08:00,5.86,6.34
18-04-2022 09:00,6.05,6.34
18-04-2022 10:00,6.27,6.34
18-04-2022 11:00,6.35,6.34
18-04-2022 12:00,6.48,6.34
18-04-2022 13:00,6.35,6.34
18-04-2022 14:00,6.28,6.34
18-04-2022 15:00,6.41,6.34
18-04-2022 16:00,6.48,6.34
18-04-2022 17:00,6.31,5.34
18-04-2022 18:00,5.66,4.34
18-04-2022 19:00,5.4,3.34
18-04-2022 20:00,5.16,2.34
18-04-2022 21:00,5.15,1.34
18-04-2022 22:00,5.22,1.34
18-04-2022 23:00,5.46,1.34
19-04-2022 00:00,5.48,3.34
19-04-2022 01:00,5.45,3.34
19-04-2022 02:00,5.4,3.34
19-04-2022 03:00,5.08,2.34
19-04-2022 04:00,5.1,2.34
19-04-2022 05:00,4.95,3.34
19-04-2022 06:00,5.23,5.34
19-04-2022 07:00,5.51,7.34
19-04-2022 08:00,5.74,8.34
19-04-2022 09:00,9.34,9.34
19-04-2022 10:00,9.34,9.34
19-04-2022 11:00,9.34,9.34
19-04-2022 12:00,9.34,9.34
19-04-2022 13:00,10.34,10.34
19-04-2022 14:00,10.34,10.34
19-04-2022 15:00,9.34,9.34
19-04-2022 16:00,8.34,8.34
19-04-2022 17:00,7.34,7.34
19-04-2022 18:00,6.34,6.34
19-04-2022 19:00,5.34,5.34
19-04-2022 20:00,5.34,5.34
19-04-2022 21:00,5.34,5.34
19-04-2022 22:00,5.34,5.34
19-04-2022 23:00,6.34,6.34
20-04-2022 00:00,5.34,5.34
20-04-2022 01:00,6.34,6.34
20-04-2022 02:00,5.34,5.34
20-04-2022 03:00,5.34,5.34
20-04-2022 04:00,5.34,5.34
20-04-2022 05:00,5.34,5.34
20-04-2022 06:00,6.34,6.34
20-04-2022 07:00,7.34,7.34
20-04-2022 08:00,8.34,8.34
20-04-2022 09:00,8.34,8.34
20-04-2022 10:00,9.34,9.34
20-04-2022 11:00,11.34,11.34
20-04-2022 12:00,11.34,11.34
20-04-2022 13:00,11.34,11.34
20-04-2022 14:00,11.34,11.34
20-04-2022 15:00,10.34,11.34
20-04-2022 16:00,10.34,11.34
20-04-2022 17:00,10.34,10.34
20-04-2022 18:00,8.34,8.34
20-04-2022 19:00,7.76,8.34
20-04-2022 20:00,7.09,7.34
20-04-2022 21:00,6.39,7.34
20-04-2022 22:00,5.67,6.34
20-04-2022 23:00,4.96,6.34
21-04-2022 00:00,4.85,5.34
21-04-2022 01:00,4.79,5.34
21-04-2022 02:00,4.78,5.34
21-04-2022 03:00,4.71,5.34
21-04-2022 04:00,4.7,5.34
21-04-2022 05:00,4.99,5.34
21-04-2022 06:00,5.31,6.34
21-04-2022 07:00,5.69,7.34
21-04-2022 08:00,5.92,8.34
21-04-2022 09:00,6.11,9.34
21-04-2022 10:00,6.24,10.34
21-04-2022 11:00,6.17,10.34
21-04-2022 12:00,6.1,11.34
21-04-2022 13:00,5.85,11.34
21-04-2022 14:00,5.58,10.34
21-04-2022 15:00,5.56,11.34
21-04-2022 16:00,8.6,10.34
21-04-2022 17:00,9.34,9.34
21-04-2022 18:00,8.52,7.34
21-04-2022 19:00,7.7,7.34
21-04-2022 20:00,6.86,7.34
21-04-2022 21:00,6.05,7.34
21-04-2022 22:00,5.25,7.34
21-04-2022 23:00,5.09,6.34
22-04-2022 00:00,4.9,5.34
22-04-2022 01:00,4.85,5.34
22-04-2022 02:00,4.78,5.34
22-04-2022 03:00,4.84,5.34
22-04-2022 04:00,4.85,5.34
22-04-2022 05:00,5.1,6.34
22-04-2022 06:00,5.22,7.34
22-04-2022 07:00,5.85,8.34
22-04-2022 08:00,6.52,9.34
22-04-2022 09:00,10.36,11.34
22-04-2022 10:00,11.34,11.34
22-04-2022 11:00,10.52,13.34
22-04-2022 12:00,9.7,12.34
22-04-2022 13:00,8.68,11.34
22-04-2022 14:00,7.6,10.34
22-04-2022 15:00,6.49,10.34
22-04-2022 16:00,6.28,10.34
22-04-2022 17:00,6.02,9.34
22-04-2022 18:00,5.71,7.34
22-04-2022 19:00,6.2,6.34
22-04-2022 20:00,6.34,6.34
22-04-2022 21:00,6.18,6.34
22-04-2022 22:00,5.95,5.34
22-04-2022 23:00,5.63,5.34
23-04-2022 00:00,5.17,5.34
23-04-2022 01:00,4.78,5.34
23-04-2022 02:00,4.71,4.34
23-04-2022 03:00,4.58,4.34
23-04-2022 04:00,4.5,4.34
23-04-2022 05:00,4.71,4.34
23-04-2022 06:00,5.11,5.34
23-04-2022 07:00,5.38,7.34
23-04-2022 08:00,5.54,9.34
23-04-2022 09:00,5.69,9.34
23-04-2022 10:00,5.87,10.34
